Instance name                                                                                                    | Checked answer | CPU time | Solver name  | Solver version
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNKNOWN EXCODE | 4999.25  | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNKNOWN TO     | 5000.05  | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNKNOWN TO     | 5000.05  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf                    | UNKNOWN TO     | 5000.08  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | SAT            | 0.013997 | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | SAT            | 0.031994 | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.01  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.08  | CMUSAT       | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.08  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.09  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.11  | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.12  | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.24  | TTS          | 4.0       
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | SAT            | 0.014997 | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | SAT            | 0.029995 | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | UNKNOWN MO     | 4439.08  | TTS          | 4.0       
